Betula fontinalis,shrub/tree,deciduous,,,,,,,,,,,,
Betula glandulosa,shrub/tree,deciduous,,,,,,,,,,,,
Linnea borealis,shrub/tree,deciduous,,,,,,,,,,,,
Kalmia polifolia,shrub/tree,deciduous,,,,,,,,,,,,
Vaccinium caespitosum,shrub/tree,deciduous,,,,,,,,,,,,
Vaccinium myrtillus,shrub/tree,deciduous,,,,,,,,,,,,
Vaccinium scoparium,shrub/tree,deciduous,,,,,,,,,,,,
Lupinus argenteus,shrub/tree,deciduous,,,,,,,,,,,,
Ribes sp.,shrub/tree,deciduous,,,,,,,,,,,,
Juniperus communis,shrub/tree,scale,,,,,,,,,,,,
Abies lasiocarpa,shrub/tree,needle,,,,,,,,,,,,
Picea engelmannii,shrub/tree,needle,,,,,,,,,,,,
Picea pungens,shrub/tree,needle,,,,,,,,,,,,
Pinus contorta,shrub/tree,needle,,,,,,,,,,,,
Pinus flexilis,shrub/tree,needle,,,,,,,,,,,,
Pinus ponderosa,shrub/tree,needle,,,,,,,,,,,,
Pseudotsuga menziesii,shrub/tree,needle,,,,,,,,,,,,
Dryas octopetala spp. hookeriana,shrub/tree,deciduous,,,,,,,,,,,,
Dasiphora fruticosa,shrub/tree,deciduous,,,,,,,,,,,,
Rubus idaeus spp. melanolasius,shrub/tree,deciduous,,,,,,,,,,,,
Populus tremuloides,shrub/tree,deciduous,,,,,,,,,,,,
Salix arctica spp. petraea,shrub/tree,deciduous,,,,,,,,,,,,
Salix glauca,shrub/tree,deciduous,,,,,,,,,,,,
Salix nivalis,shrub/tree,deciduous,,,,,,,,,,,,
Salix planifolia,shrub/tree,deciduous,,,,,,,,,,,,
Salix reticula ssp. nivalis,shrub/tree,deciduous,,,,,,,,,,,,
Salix villosa,shrub/tree,deciduous,,,,,,,,,,,,
